Danev Sons Super Market,"Shop No 2-6 Giriraj Anclave, Nr. K.p Residency, Nikol Gam, Ahmedabad - 382350",07947059679 
Ambica Provision Stores,"1, Shalibhadra Society, Naranpura Vistar, Ahmedabad - 380013, Near Sindhi High School",+(91)-79-27550704
Maheshwari Provision Store,"D1 Shivani APR, Ambawadi, Ahmedabad - 380015, Behind Sahjanand College",+(91)-9898392832
K-Mart,"Opposite Raj Tvs Showroom, Sanand Sarkhej Highway, Sanand Bus Stand, Sanand - 382110, Near Jogani Mata Temple",+(91)-7878781701
Hind Super Market,"Golden Triangle Complex, Naranpura Vistar, Ahmedabad - 380013, Near Sardar Patel Stadium First Cellar",+(91)-079-48907883
Maheshwari Fresho Hub,"Shop Number 26 Orchid Complex, South Bopal Road, South Bopal, Ahmedabad - 380058, Opposite Safal Parisar 2",07947069091
Jay Ranchhod Anaj Bhandar,"7 & 8, Rupam Shopping Centre, Ghatlodiya, Ahmedabad - 380061, Opposite Veer Dairy, Rannapark, Maharana Pratap Chowk, Prabhat Chowk",+(91)-79-27472708
Harihar Provision Store,"11, Mehta Society, Ranip, Ahmedabad - 382480, Near Vegetable Market, Opposite Ahmedabad Dist Bank",+(91)-79-27523670
Chandramauli Provision Stor..,"Shop No:-A/169, Shomeshwara Complex Part 1, 132 Feet Ring Road,Shyamal Cross Road, Satellite, Ahmedabad - 380015, Opposite City Gold,Near Brand Factory",+(91)-079-26762388
Ankur Kirana Stores,"3, Ground Floor, Anand Nagar Shopping Center, 100 Feet Ring Road, Satellite, Ahmedabad - 380015, Near Prahlad Nagar Garden",+(91)-79-26933608
Shree Sureshwar Provision S..,"Shop No 49, Happy Home Shopping Center, Ankur Rannapark Road, Naranpura Vistar, Ahmedabad - 380013, Near Vegetable Market, Shashtri Nagar",+(91)-079-27480718
Adinath Traders,"Ratanpole, Ahmedabad - 380001, Opp. Asopalav Saree Centre, B/H. Rupam Cinema, Nagori Shala",+(91)-79-25357349
Annapurna Kirana Stores,"Ranip, Sardar Chowk, Ranip, Ahmedabad - 382480, Near Vegetable Market",+(91)-79-27522601
D 2 D Bazaar,"Shop No. 9, Applewoods Galleria, S P Ring Road, Shantipura Cross Road, South Bopal, Ahmedabad - 380058",+(91)-9173449200
Lachhaji General Store,"Shop No 4, Vibhavari Society, Part 1, Vejalpur, Ahmedabad - 380051, Opposite Dena Bank, Jivraj Park",+(91)-079-26811903
Shree Ambika Provision Stor..,"Shop No. -A/3, Arjun Elegance, Memnagar Road,, Memnagar, Ahmedabad - 380052, Opposite Bhagirath Society,",+(91)-9825670918
Purvi Provision Stores,"H-7, Akruti Shopping Centre, Jodhpur Gam Road, Satellite, Ahmedabad - 380015",+(91)-79-26922063
Avdhoot Snacks,"1/1, Ghanshyam Nagar Shopping Centre, Opposite RTO Office, Subhash Bridge, Ahmedabad - 380027, Near Gandhi Ashram",+(91)-079-27561042
Gautam Stores,"1098/32madhupura, Madhupura, Old Madhupura, Ahmedabad - 380004, Outside Delhi Gate",+(91)-079-22160458
Apple Tree,"Shop No 22, Orchid Center, Safal Parisar Road, South Bopal, Ahmedabad - 380058, Opposite Safal Parisar 2",+(91)-9500087666
New M-mart Super Market,"2/3/4, Shreenath Hights Flats, Kathwada Road, Naroda, Ahmedabad - 382330, Opposite Vraj Vihar Society",+(91)-9898007160
A P Anajwala,"Shop No 10, Hiral Shopping Centre, Paldi, Ahmedabad - 380007, Near Bhattha Cross Roads",+(91)-79-26640604
Shivam Provisional Store,"4,C Jyotinagar, Narolgam, Narol, Ahmedabad - 382405, Behind Ambuja Factory Gujrat. 382405",+(91)-9998674630
Shreeji Food Solutions,"Shop No 1 Mukhyamantri Awas Yojana, Jodhpur Gam Road, Jodhpur Tekra, Ahmedabad - 380015, Opposite Lotus School",+(91)-6355365338
Komal Provision Store,"7, Ankur Shopping Centre, Paldi, Ahmedabad - 380007, Shantivan",+(91)-79-26638817
Reliance Hypermart,"Reliance Super Highstreet, Mithakali, Navrangpura, Ahmedabad - 380009, Opposite Navrangpura Police Station, Opposite Neptune House",+(91)-079-40048602
Jain Super Market,"2, Tagore Park, 120 Feet Ring Road, Patel Colony, Ambawadi, Ahmedabad - 380006",+(91)-79-26731201
Pratapsingh Ajaysingh,"Madhupura, Ahmedabad - 380004, Near Ramdev Masala, Outside Delhi Darwaja",+(91)-79-22174784
Reliance Fresh,"Ghanshyam Avenue, Ambawadi, Ahmedabad - 380006, Shreyas Crossing",18001027382
Patanjali Shop No 9,"Ghatlodia Road, Ghatlodiya, Ahmedabad - 380061",+(91)-9427494354
Monginis Cake Shop,"Navrang Milk Bar , Shop No. 05 Satyanarayan Nagar, Viratnagar Cross Road, Bapunagar, Ahmedabad - 380024, Opposite AMc Office",+(91)-9824617877
Jakshani Provision Stores,"26, 27, Shantiniketan Complex, Gurukul Road, Memnagar, Ahmedabad - 380052, Opposite H B Kapadia School, Vishramnagar",+(91)-9898569092
Oswal Consumers,"Shop No 14/15, Avani Complex, Naranpura Vistar, Ahmedabad - 380013, Opposite Sindhvai Mata Temple, Naranpura Gam",+(91)-79-27473430
New Vardhman Grain Centre V..,"G/3, Hirak Centre, Vastrapur Lake Road, Vastrapur, Ahmedabad - 380015, Opposite Sardar Centre",+(91)-079-26764867
Chimanlal And Sons,"E/31,  New Adhyashakti Tenament, Jodhpur Gam Road, Ahmedabad - 380015",
Tushar Provision Store,"Shop  No 1, Ground Floor, Tushar Centre, Navrangpura, Ahmedabad - 380009, Opposite Vodafone House, Stadium Circle",+(91)-079-26467937
New Gopal Provision Store,"28, Krishna Nagar Society, India Colony Road, Bapunagar, Ahmedabad - 380024, Opposite Naran Chambers",+(91)-9824850503
Hanafiya Saraiya Stores,"3100, Three Gate, Teen Darwaja, Ahmedabad - 380001",+(91)-79-25354906
Tarachand Pasari,"Shop No-24, Sabarmati Bazar, Garidas Road, Kubernagar, Ahmedabad - 382340",+(91)-79-22813971
Panachand Zaverdaswala Jaye..,"247, Kalupur, Ahmedabad - 380001",+(91)-79-22120054
Jinendra Stores,"9 Shantabaugh Society, Nr.Vaishali Township, Vasna, Ahmedabad - 380007, Opp. Apmc Market",+(91)-9824279888
Siddharth Provision Store,"Shop No-1, 2, Takshshila Apartment, Paldi, Ahmedabad - 380007, Opposite Narayan Nagar Road, Near Jethabhai Park",+(91)-079-26672249
Italian Bakery,"10-A, Kamdurga Society, Part-1, Naranpura Vistar, Ahmedabad - 380013, Ankur Cross Road",+(91)-9825106308
Swaminarayan Grocery,"Shop no M 30/352, Parasnagar Part 2, Sola Road, Ahmedabad - 380061, naranapura",+(91)-9725599791
Kirana4u Super Market,"Shop No-16, Premchand Nagar Road, Bodakdev, Ahmedabad - 380054",+(91)-079-26730120
Shree Arbuda Provision Stor..,"Shop No. L-18 Ratnadeep-2 Complex, Jodhpur Gam Road, Satellite, Ahmedabad - 380015, Opposite Prernatirth Jain Derasar",+(91)-8000149325
New Paras Traders,"Shop No 3&4, Chanakya Tower, Sandesh Press Road, Bodakdev, Ahmedabad - 380054, Opp Magsoon Fresh and Frozon Food",+(91)-079-26730123
Vijay Stores,"24,Municipal Market, PALDI-NID ROAD, Paldi, Ahmedabad - 380007, Near NID College",+(91)-079-26588451
Osia Hypermart,"Basement, Akash Tower, Judges Bunglow Road, Bodakdev, Ahmedabad - 380054",+(91)-7096036826
Vardhman Grain Centre,"11,12, Sudarshan Complex, Premchand Nagar Road, Vastrapur, Ahmedabad - 380015, Opposite Bhagyoday Bank",+(91)-79-26763977
Shreenath Trading Company,"G-2, Happy Complex, Shyamal, Ahmedabad - 380015, Near Shyamal Cross Road, Opposite The Bhagyoday Co-operative Bank",+(91)-79-26763679
Kishanchand Jivanram Grocer..,"16/1 G S B, Bapunagar, Ahmedabad - 380024, Opposite Bapu Nagar Police Station",+(91)-8490905500
VRJ MART,"1/ 2 , Devkrupa Avenue , Opp True Value Showroom, Vinzol, Ahmedabad - 382445",+(91)-8511672708
Shree Sureshwar Grain Centr..,"1, Ground Floor, Satyam Status, Ramdev Nagar Road, Satellite, Ahmedabad - 380015, Opposite Chandan Farm",+(91)-079-26928918
Business Awaaz,"Mansuri Society, Sarkhej Gandhinagar Highway, Ahmedabad GPO, Ahmedabad - 380001, Near Adani Vidya Mandir, Makarba",+(91)-079-40047257
Madhav Super Market,"Ghatlodiya, Azad Marg, Ghatlodiya, Ahmedabad - 380061",+(91)-7046404008
Rajesh Provision Store,"Opp.sidhhivinayak Complex, Punit Road, Maninagar, Ahmedabad - 380008, Ramji Mandir.",+(91)-7405331572
Ambica Provision & Anaj Bha..,"Bhairavnath Road, Maninagar, Ahmedabad - 380008, Opposite Best High School",+(91)-79-25434813
New Krishna Kirana & Genera..,"G 4, Shabri Complex, Azaad Road, Ambawadi, Ahmedabad - 380006, Near Jay Apartment, Opposite Azad Society, Behind Sahajanand College",+(91)-079-65419752
Jay Vijay Provizon Store,"Giramtha, Girmatha, Ahmedabad - 382425",+(91)-9408501659
Saifee Stores,"3453/56, Khanpur, Ahmedabad - 380001, Opposite Khanpur Gate,Near Usha Kiran Flats",+(91)-9898650526
Kalapy Super Market,"Shop No. B/8/2, Basement, Memnagar Complex, Memnagar Gam Road, Memnagar, Ahmedabad - 380052, Opposite IOC Petrol Pump",+(91)-79-27474297
K K Trading,"Opp Shree Ram Coconet Co,Juna Madhupura, Madhupura, Ahmedabad - 380004, Near New Madhupura Gate No 1, Near G M Gadhi, Opposite Dhanvandri Kirana,",+(91)-79-22171002
Annapurna General And Groce..,"Shop No 3 Gopal Nagar, Loyola School Road, Memnagar, Ahmedabad - 380052, Near Krishna Dairy",+(91)-9974537773
Janta Kirana Store,"Shop No A 22, Shri Kunj Shopping Center, Sahyog Society, Ranna Park Ghatlodia Road, Ghatlodiya, Ahmedabad - 380061, Opposite Triveni Park Society, Prabhat Chowk",+(91)-79-27475326
Shreyas Cooperative Credit ..,"Bungalow No 1, Samast Brahmin Kshatriya Society, Narayan Nagar Road, Paldi, Ahmedabad - 380007, Near Shantivan Bus Stop",+(91)-79-26644704
Ramdev Kirana Stores,"Shop No. 22, Abhinandan Complex, Bopal - Ghuma Road,, Bopal, Ahmedabad - 380058, Opposite Inductotherm Factory",+(91)-9824431591
National Handloom,"Naroda, Ahmedabad - 382330",+(91)-9904857737
Shree Ganesh Gruh Udhyog,"Shop No-55, Ground Floor Sukan Mall, Science City Road, Sola, Ahmedabad - 380060, Near Cims Hospital",+(91)-9725489080
Ashok Namkin,"1, Juhu Park Society, Juhu Park Road, Ranip, Ahmedabad - 382470, Nava Vadaj",+(91)-7990325277
Rajaram Kirana Store,"Shantilal Dinanath Mehta Rd, Dharm Nagar Ii, Sabarmati, Ahmedabad - 380005, Opposite Jayshidhnagar Society",+(91)-9662355143
Greenland Grocery & Super M..,"2, Shivali Apartment,, N C C Ground, Near Law Garden, Ellisbridge,, Ahmedabad GPO, Ahmedabad - 380001",+(91)-79-26464558
Tolani Kirana Store,"13, Sindhi Market, Dehgam Road, Naroda, Ahmedabad - 382330, Near Naroda Nagrik Bank",+(91)-9998176891
Mehta Kirana Stores,"Shop No 352/A ,Khat Colony, Ishvar Bhuvan, Chandlodiya Road, New Vadaj, Ahmedabad - 380013, Near Mehsana Society",+(91)-079-27640016
Prajapati Sales Depot,"1/2, Sarvoday Housing, Khokhara Mehmadabad, Ahmedabad - 380008, Near Rohit Mill",+(91)-9898255701
Mahalaxmi Anaj Bhandar,"Yogeshwernagar Vibhag 1, Vasna, Ahmedabad - 380007, Near Vishala, Near G B Shah College",+(91)-9978679060
Shilp Pan Parlour,"Shilp Arcade, Samir Shitavan Society, Near Hirawadi Cross Road, Bapunagar, Hirawadi, Bapunagar, Ahmedabad - 380024",+(91)-8733095571
King Store,"1 Sunita Appartment, JAY Hind Char Rasta, Maninagar, Ahmedabad - 380008",+(91)-79-25463150
Groceryparcel.com,"Kalupur, Ahmedabad - 380001, Near Kalupur Railway Station, Kalupur Chakla, Chokha Bazaar",
Gopiji Namkeen,"Shivkrupa Flat, Nava Vadaj Gam, Nava Vadaj, Gopi Chowk Road, New Vadaj, Ahmedabad - 380013, Near Of Aagiyarsi Mataji Mandir",+(91)-9979215415
Jain Super Bazar,"Arbuda Centre, Nehrunagar Cross Road, Ambawadi, Ahmedabad - 380006, Near Jain Derasar, Manek Baough",+(91)-8000920942
OM Super Market,"E-150/1, Shanti Kunj Shopping Center, I O C Road, Chandkheda, Ahmedabad - 382424, Chandkheda",+(91)-79-27500902
Yogi Provision Store,"Shop No. 6, Kalpataru Flats, Ranip Road, Ranip, Ahmedabad - 382480, Near Amul Garden",+(91)-9428101183
KC Spices,"23 Mamta Complex, Sattadhar Road, Ghatlodiya, Ahmedabad - 380061, Near Sola Bridge",+(91)-7046330816
Shree Laxmi Gruh Udhyog,"5, Abhishek Complex, Paldi, Ahmedabad - 380007, Near Anand Nagar Society, Paldi Bhatta",+(91)-079-26621647
Charbhuja Chavana & Sweet M..,"Sonal Char Rasta, Sarathi Cooperative Housing Society, Gurukul Rd, Memnagar, Ahmedabad - 380052, Near Subhash Chowk",+(91)-9725750763
Gujarat Kirana Store,"3042 Near Delhi Gate, Ahmedabad-1, Delhi Darwaja, Ahmedabad - 380004, Near Delhi Darwaja",+(91)-9427059369
Food Bazaar,"Big Bazaar, Himalaya Mall, Drive In Road, Thaltej, Ahmedabad - 380054, Near Indraprasth Tower",+(91)-079-39829153
JAY Ramarir Kirana Store,"Jamna Nagar, Bapunagar, Ahmedabad - 380024, Behind L B S Stadium Circle",+(91)-79-69606222
G Mart,"Shop Number 14 to 22, Radhe Skyline, Sanand - 382110, Near Eklingji Road, Near New S.B.I Bank",+(91)-8488926063
Reliance Fresh,"Pushpak Building, Khanpur, Ahmedabad - 380001, Opposite Kama Hotel",18001027382
Maya General Store,"Opposite Jay Bhole Transport, Near Narayan Ni Bhagod, Kaneti, Sanand - 382110, Near Sanand Ho",+(91)-9898120922
Paresh Provision Stores,"Shop No 5, Chandrika Shopping Centre, Jivraj Mehta Hospital Road, Vasna, Ahmedabad - 380007, Opposite LIC Office",+(91)-79-26636846
Aarti Stores,"Aarti Stores Building, Vegetable Market Road, Kalupur, Ahmedabad - 380001, Near Chokha Bazar, Kalupur Danapith",+(91)-9327048622
Sheshmal Jethaji Traders,"Shop No-6, Taskan Shopping Centre, Bhadarpura Road, Ambawadi, Ahmedabad - 380006, Shreyas Bridge",+(91)-79-26423301
Bhadani Provision Store,"Bapunagar Road, Nr. Bhikhabhai Papervala, Bapunagar, Ahmedabad - 380024, Opposite 137 Last Amts Bus Stop",+(91)-9898458409
Padmavati Provision & Parlo..,"Shop no 1,Safariya Complex, Sharda Temple Road, Paldi, Ahmedabad - 380007, Opposite Jain Nagar Bus Stop,",+(91)-9662965963
Girivar Provision Stores,"Shop No-8, Rupam Shopping Centre, Ghatlodiya, Ahmedabad - 380061, Rannapark",+(91)-79-27453435
Patel General Store,"Gj Sh 16, Rampur, Ahmedabad - 382225",+(91)-9898552134
Shah Nanalal Bhuralal & Co,"117, Shahpur Road, Shahpur Ahmedabad, Ahmedabad - 380004, Near Shahpur Gate",+(91)-79-25624544
Shrinath Grain & Provision,"L-11, Sarthak Tower, Satellite, Ahmedabad - 380015, Near Courtyard Mariott Hotel, Ramdevnagar",+(91)-79-26922387
Laxmi Super Market,"Shop No 2, Ground Floor, Sur Sangam Complex, Mirambika School Road, Naranpura Vistar, Ahmedabad - 380013, Opposite Sukh Tower",+(91)-79-27486016
Murli Manohar Traders,"289/B, Keripitha, Kalupur, Ahmedabad - 380001, Near Vegetable Market Road, Opposite Vimal Bakery",+(91)-79-22177382
Gopal Provision Stores,"Patelvas, Wadaj Char Rasta, Juna Wadaj, Ahmedabad - 380013, Behind Sent Loren Hotel",+(91)-79-27556404
Kamlesh Stores,"Civil Hospital, Asarwa, Road, Chamanpura, Ahmedabad - 380016, Near Popatlal Atmaram Newchali,Opposite Hanuman Mandir",+(91)-7069716069
Yamuna Provision Store,"Ghanshyam Bhavan, Waraj Road, Wadaj, Ahmedabad - 380013, Opp Devoath Flats",+(91)-9898206970
Angita Provision Stores,"254/3037, Sundarvan Apartment, Sola Road, Ahmedabad - 380063, Opposite Petrol Pump",+(91)-79-27484250
Krishna Kirana Store,"E 7, Near Paras Prabhu, Isanpur, Ahmedabad - 382443, Opposite Visalnagar",+(91)-9998939980
K Amitkumar,"Shop No 128, Sindhi Commercial Market, Kalupur, Ahmedabad - 380002, Chokha Bazar",+(91)-79-22165527
Jay Shankar Provision Store,"Bzhzz, Behrampura, Ahmedabad - 380022",+(91)-9824546766
Dwarkesh Provision Store,"2, Parth Apartment, Satellite, Ahmedabad - 380015, Opposite Sukomal Flat, Ramdevnagar",+(91)-9898522560
Mohit Department,"7-B, Premkunj Society, Mirambika School Road, Naranpura Vistar, Ahmedabad - 380013, Opposite Jain Derasar",+(91)-9998443082
Vipul Kumar Rameshchandra &..,"133/1, Tirupati Complex, Kalupur, Ahmedabad - 380001, Opposite Chokha Bazar",+(91)-79-22167352
Ramesh Kirana Store,"G 24, Manas Complex, Satellite, Ahmedabad - 380015, Near Jodhpur Cross Road",
Shiv Sagar Super Store,"Kadambari Complex 2, Near Badiyadev Mandir, Vejalpur, Ahmedabad - 380051, Opposite Shrinand Nagar, Near Vejalpur Bus Stop",+(91)-079-26829611
Vijay Paper & Board Mills,"Chaloda, Ahmedabad - 382260",+(91)-9824371109
Ramesh Provision Stores,"82, Sindhi Market, Maninagar, Ahmedabad - 380008, Opposite Maninagar Railway Station",+(91)-79-25451998
Jb Purohit,"Raj Purohit Nivas, Vatva Road, Isanpur, Ahmedabad - 382443, Near Muktajivan School",+(91)-79-25733856
D NINE INCORPORATION,"119,Madhupura Ganj Bajar, Nr. Delhi Darwaja Cross Road, Madhupura, Ahmedabad - 380004, Opposite Ambaji Mata Mandir",+(91)-9724355377
Shree Umiya Super Mart,"G-4, Atlanta Tower, Gulbai Tekra, Ahmedabad - 380015, Near Cher Salon",+(91)-9925189709
Jain Traders,"Y 6, Swastik Shopping Centre, Vasna, Ahmedabad - 380007, Near Vasna Barrage",+(91)-9825513947
Parth Prajapati,"Memnagar, Ahmedabad - 380052",+(91)-9824162883
Deepak Novelty,"193, Ahbab Nagar, Khokhra Mehmadabad, Madarasi Mandir Road, Maninagar East, Ahmedabad - 380008",+(91)-9979039818
Sagar Store,"Ranip, Ahmedabad - 382480, Near Nilkanth Mahadev, Ranip Gam",+(91)-9909587930
Kantilal Ramanlal Bhatt,"Near Jog Maya Temple, Madhupura, Ahmedabad - 380004, Opposite Delhi Gate",+(91)-79-22123282
Bera Somasa House,"Bhathiuargali,Khakh Bajar, 3 Gate, Lal Darwaja, Ahmedabad - 380001",+(91)-79-25320106
Prayosha Provision Stores,"No 9.tapovan Society Vibhag-1, Anil Starch Road, Saraspur, Ahmedabad - 380018",+(91)-9722778283
Prayosha Provision Store,"9 Tapovan Society Part 1, Saraspur, Ahmedabad - 380018, Gov. E Colony Same",+(91)-9824615160
New Asopalav Grain Centre,"Shop No 5, Kismat Complex, Nehrupark Road, Vastrapur, Ahmedabad - 380015, Opposite Supal Apartment",+(91)-079-26768150
B & G Food Store,"Shop No 6 Neelkanth Park 1, Ghoda Camp Main Road, Shahibaug, Ahmedabad - 380004, Opposite SBI Bank",+(91)-9725641257
Gandhi Babulal Ramsingh,"Kalupur, Ahmedabad - 380001, Inside Kalupur Darwaja",+(91)-79-22138959
Maruti Kirana,"121, Sindhi Commercial Market, Kalupur, Ahmedabad - 380002, Chokha Bazar",+(91)-79-22123143
Neelkanth Fruits,"Shop No.19  Neelkanth Park.-1, Near BSNL Office, Shahibaug, Ahmedabad - 380004, Ghoda Camp Road",+(91)-9409204522
Raj Lakshmi Traders,"Shop No Sector V, Nirnay Nagar, Ahmedabad - 382481, Opposite Swaminarayan Temple",+(91)-9033001905
Gayatree Provision Store,"Sivanand Nagar, Rakhial, Ahmedabad - 380023",+(91)-9428119915
Gopi Annakshetra,"5-A, Gopal Baug Society, BHairavnath Road, Maninagar, Ahmedabad - 380008, Near BHairavnath BRTS Bus Stand",+(91)-9998503792
Shah Ratilal Chhaganlal,"370-25, Anaj Bazar, Kalupur, Ahmedabad - 380001, Kalupur Lat",+(91)-79-22121010
Hind Super Market,"Payal Nagar Municipal Garden, Opp.devi Cinema, Naroda, Ahmedabad - 382330",+(91)-79-22810008
R V Traders,"370/22, Kalupur Lathi Bazar, Kalupur, Ahmedabad - 380002, Opposite Kabutar Khana",+(91)-79-22112314
Mr-Akshay Shah,"Meghaninagar Cross Road, Meghaninagar, Ahmedabad - 380016, Opposite Government Officers Colony",+(91)-79-22685193
Sri Balaji Hot Chips,"Mansi Point,Maruti Complex, Sarathi Cooperative Housing Society, Memnagar, Gurukul Road, Ahmedabad - 380052",+(91)-9558231555
Asopalav Grain Center,"Shop No 36-37, Nalanda Complex, Premchand Nagar Road, Vastrapur, Ahmedabad - 380015",+(91)-79-26733771
G G Trading Co,"Shop No 3, R P Building, Madhupura, Ahmedabad - 380004, Near New Madhupura Chowk",+(91)-9426354307
Arihant Provision Store,"8,Amrapalli Flats, Nr. Bhaktinagar Flats, Bapunagar, Ahmedabad - 380024, Bapunagar",+(91)-9998497403
Murli Manohar Trading Co.,"Delhi Darwaja, Ahmedabad - 380004, Near Ramdev Masala, Madhupura Dhal",+(91)-9904040251
New Patel Provision Stores,"3,4, Saundravilla Shopping Center, Nikol Gam, Ahmedabad - 382350, Opposite Shukan Bunglows, Near Sanskar Bunglows, Nikol",+(91)-9978403122
Hind Kirana Stores,"Shop No 1209, Madhupura, Ahmedabad - 380004, O/S Nava Madhupura",+(91)-79-22165760
Low Price Store,"4, Krishna Avenue, Bhairavnath Road, Maninagar, Ahmedabad - 380008, Near, Gopal Chowk",+(91)-079-25434579
Bhavya Provision Store,"Shop No 11, Suvas Complex, Thaltej, Ahmedabad - 380054, Near Jay Ambe Nagar, Jivandeep Circle",+(91)-9426186655
Brahmani Provision Store,"Maruti Park Society, Opposite Shayona City Office, R C Technical Road,, Ghatlodiya, Ahmedabad - 380061, Chanakyapuri,",+(91)-9724425470
Ghanshyam Provision Store,"B 3139/3, K K Nagar, Ghatlodiya, Ahmedabad - 380061, Near Nirnaynagar Garnala",+(91)-9979542652
Radhe Sugar,"B. 15, Shukan-3, Jodhpur Gam Road, Satellite, Ahmedabad - 380015, Behind Vrajdham Haveli",+(91)-9898059429
Ratilal & Sons,"Ll-3, Matuly Shopping Centre, Sola Road, Bhuyangdev, Ahmedabad - 380063, Near Sarthak Vidhya Mandir",+(91)-79-27490350
Vishnu Kirana Stores,"Ram Nagar Chowk, Ahmedabad - 380005, Opposite Ramji Temple, Ramnagar",+(91)-79-27506413
Jain Super Bazar,"Dwarkesh Complex, Bopal, Ahmedabad - 380058, Opposite Amts Sarkari Tubewell Bus Stop",+(91)-7819820945
Devaji Khimaji Medtia,"Football Ground Road, Kankaria, Ahmedabad - 380022, Opposite Shreyas Consumers Stores",+(91)-79-25327209
Murlidhar Traders,"174/1 Sindhi Commercial Market, Kalupur, Ahmedabad - 380002",+(91)-79-22164408
Shreeji Super Market,"Shop no 13, Shanti Pujya Homes, Silver star char rasta, Chandlodiya, Ahmedabad - 382481, Near Mangal shanti party plot",+(91)-8156069618
Agrawal Trading Company,"156/1, Kalupur, Ahmedabad - 380002, Near Chokha Bazar, Kalupur Kabutar Khana",+(91)-79-22123566
Mahaveer Foods,"Dharnidhar, Ahmedabad - 380007, Opposite Dharnidhar Derasar, Near Shri Jain Darshan",+(91)-7011074366
Gopal Parlour,"Shop No 8, Punitnagar, Umiya Vijay Gali, Satellite, Ahmedabad - 380015, Opposite Satellite Hospital",+(91)-9374274180
Asha Provision Store,"Shop No 4, Sagar Tower, Premchand Nagar Road, Satellite, Ahmedabad - 380015, Opposite Mansi Complex",+(91)-9898571478
More For You,"Dev Srushti Complex, Bodakdev, Ahmedabad - 380054, Near Simandhar Jain Derasar, Opposite Reliance Fresh",
Chimalal & Sons,"12, Jodhpur Village, Jodhpur, Jodhpur Gam Road, Ahmedabad - 380015",+(91)-9664785335
Ashirvad Traders,"Bhavnagar Society, Isanpur, Ahmedabad - 382443, Near Govind Vadi",+(91)-9898167174
Kumar Provision and General..,"Shop No. 4-B, Prem Kunj Society, Opp Mirambika School Road, Naranpura Vistar, Ahmedabad - 380013, Opposite Shri Mirambika School",+(91)-9974535482
Shree Ratneshwari  Provisio..,"7, Ghanshyam Shopping Center, Opposite  RTO, Subhash Bridge, Ahmedabad - 380027, Near RTO Circle",+(91)-079-27556915
Balaji Provision Store,"3, Nityanandan Complex, Pritamnagar Road, Ellis Bridge, Ahmedabad - 380006, Near Pritam Nagar Akhada",+(91)-9638754301
Shree Dinanath General Stor..,"2, Priti Shopping Centre, Vasna, Ahmedabad - 380007, Opposite LIC Office",+(91)-79-32937823
Shree Ramdev Kirana Stores,"Shop No- 4, Shreeji Enclave, Ramdevnagar Vejalpur Road, Satellite, Ahmedabad - 380015, Near Anand Nagar Cross Road",+(91)-079-26926142
Padmavati Trading Company,"134, Ganj Bazar, Madhupura, Ahmedabad - 380004, Near Ambaji Temple",+(91)-79-22136671
Mahalaxmi Anaj Bhandar,"Shop No 48 Yogeshwar Nagar 2, Near Cadila School, Vasna, Ahmedabad - 380007, Opposite Vasna Tollnaka",+(91)-9879879060
Shivani Telecom & Provision..,"New Jogeshwari Society, Ctm, Ahmedabad - 380026",+(91)-9429132545
Arasuri Traders,"Khadia, Ahmedabad - 380001, Opposite Govardhan Nath Mandir, Sarangpur Chakla",+(91)-79-22114486
Adinath Shri Chavana,"Shahpur Char Rasta, Shahpur Ahmedabad, Ahmedabad - 380004, Behind Chotalal Bhagat Trust, Outside Shahpur Gate",+(91)-9377243047
Shree Ambica Anaj Bhandar,"5, Rajtilak Plaza, Bopal, Ahmedabad - 380058, Opposite IOC Petrol Pump",+(91)-9825026521
Mukesh Kirana Stores,"Vatva Road, Isanpur, Ahmedabad - 382443, Opposite Shreeji Dairy",+(91)-79-25735224
Anupam Consumers Stores,"Shop No 2, Digicorp Complex, University Road, Panjrapole, Ahmedabad - 380015, Behind Jhanvee Restaurant, Near Kashiram Agrawal Hall",+(91)-079-26305115
Dwarkesh General Stores,"Shop No. 6, Ground Floor, Park View, Jodhpur Village Road, Satellite, Ahmedabad - 380015, Near Asopalav Party Plot",+(91)-79-26760546
Danev Sons Super Market,"Shop No 2-6 Giriraj Anclave, Nr. K.p Residency, Nikol Gam, Ahmedabad - 382350",07947059679
D Mart,"Shivalik Corporate Park, Shivranjani Cross Road, Satellite, Ahmedabad - 380015, Near Ioc Petrol Pump",+(91)-079-30616300
National Handloom Corporati..,"Himalaya Exotica, 132 Feet Ring Road, New Vadaj, Ahmedabad - 380013, Opposite Vyas Vadi, Behind Bhavsar Hostel",+(91)-9328424297
D Mart,"Ground Floor, Arved Transcube Plaza, Ranip, Ahmedabad - 382470, Near Rto Circle, Opposite Ranip Brts Bus Stop",+(91)-079-30455100
Big Bazaar (10 Acres The Ah..,"Ahmedabad City Mall, Kankaria Road, Raipur, Ahmedabad - 380002, New Cotton Mills Compound, Outside Raipur Gate, Opposite Ar",+(91)-079-30287611
D Mart,"Kathwada Road, Hari Darshan Cross Road, Naroda, Ahmedabad - 382330, Opposite Kush Society, Near Kharikat Canal",+(91)-79-30351000
Reliance Market,"Shahibaug Main Road, Shahibaug, Ahmedabad - 380004, Opposite Swaminarayan Temple",+(91)-79-40088488
D Mart (Sangath Mall),"Sangath Mall 2, Sabarmati Gandhinagar Highway Road, Sabarmati, Ahmedabad - 380005, Near Visat Petrol Pump",+(91)-079-30616400
